user,answer_id,answer_valence,answer_arousal,gsr_peak_time,gsr_peak_value,heartrate_ratio
1153,0,3,4.705314941406251,529,-0.1345458972900144,0.8921568627450981
1153,2,1.757677001953125,4.273652343750001,607,-0.05747070027002898,0.8283062645011601
1153,3,3.0578857421875,1.257830810546875,374,-0.05957031144001634,0.9309576837416481
1153,5,1.2457080078124996,2.992635498046875,196,-0.2087890585200056,0.8864926220204313
1153,6,2.894931640625,1.2209948730468752,1097,0.0354492224499787,0.9207735495945103
1153,7,4.220546875,4.284698486328125,286,-0.26396484310001,0.9306818181818182
1153,13,1.1512451171874987,3,766,0.1962646493499646,0.875
1153,15,4.107659912109376,2.0859130859375004,719,0.1797119134899669,0.9029585798816568
1153,16,1.7380773925781259,1.649544677734375,996,-0.095410155140031,0.8755506607929515
1153,17,3,1.2679614257812497,333,0.032104495399969,0.8942189421894219
1153,18,4.7374951171875,2.9491723632812503,335,-0.1379882835000287,0.8797250859106529
1153,19,1.7202392578124994,4.310325927734375,369,0.02275390417996914,0.9249422632794457
1153,20,1.716867675781249,4.241600341796874,2242,-0.04614257528002707,0.8725602755453502
1153,21,4.361882324218749,4.158292236328126,449,0.0380371115699735,0.8861538461538462
1153,23,1.7333630371093758,1.6235229492187497,1890,0.2327880812499878,0.8453006421482778
1153,26,1.233739013671874,2.99183349609375,579,-0.1071289055600219,0.9516908212560387
1153,29,4.248823242187502,4.2279907226562505,1295,0.1702392595899819,0.7859608745684695
1153,30,1.6748400878906256,4.2910009765625015,504,-0.0904785149100417,0.8748603351955307
1153,31,4.387235107421874,4.28661376953125,74,0.02482909945999267,0.9009216589861752
1153,32,1.804816894531252,1.6982690429687493,109,-0.151855470010008,0.8779620853080569
1153,34,1.6815551757812495,1.68514404296875,669,0.0955078112099796,0.7977777777777778
1153,36,4.402175292968749,1.7669287109375011,421,0.0775146496099989,0.9502369668246445
1153,40,4.285302734374998,1.6698742675781257,477,-0.1170166020000142,0.9429223744292238
1153,42,3.0245874023437502,1.190541992187501,291,0.1034912093399675,0.9173184357541899
1153,44,3.70964111328125,4.677241210937499,745,-0.0417236338400246,0.8442945474985947
1153,45,2.347481689453125,1.3283068847656252,1061,0.02416992460998690,0.9230769230769231
1153,47,4.692015380859377,2.4771533203125,812,-0.02087402847004238,0.8958203368683718
1153,48,3,3,340,0.0989990288199931,0.924487594390507
1153,49,2.0229345703124992,2.09357177734375,184,0.01462402061998391,0.8283062645011601
